JORNADA;GENERO;EDAD;CARRERA;SEMESTRE;ITEM1;ITEM2;ITEM3;ITEM4;ITEM5;ITEM6;ITEM7;ITEM8;ITEM9;ITEM10;ITEM11;ITEM12;ITEM13;ITEM14;ITEM15;ITEM16;ITEM17;ITEM18;ITEM19;ITEM20;ITEM21;ITEM22;ITEM23;ITEM24;ITEM25;ITEM26;ITEM27;ITEM28;ITEM29;ITEM30;ITEM31;SUMA
2;2;22;4;7;3;1;4;3;4;4;5;4;4;3;5;5;3;1;1;2;2;1;1;1;1;4;1;4;1;5;3;3;3;4;5;91
2;2;43;4;7;2;1;4;3;4;3;5;5;4;3;5;5;4;2;3;1;2;3;2;1;1;1;2;5;1;4;5;1;1;5;5;93
2;2;24;4;9;3;4;4;5;2;4;4;4;2;4;5;4;2;5;4;2;4;1;2;1;1;1;4;5;2;2;2;2;5;2;5;97
2;1;22;4;9;1;2;4;1;4;4;3;4;5;2;4;5;3;3;2;2;2;2;3;1;4;4;2;1;1;4;4;4;3;4;3;91
2;2;21;4;9;3;2;4;2;5;4;3;4;4;3;5;4;2;2;3;1;1;1;3;1;1;2;2;2;1;5;4;2;4;3;4;87
2;1;21;4;9;5;3;4;2;4;4;4;4;4;3;4;5;3;4;3;4;5;3;4;3;3;3;4;4;2;3;3;1;3;4;5;110
2;1;24;4;9;5;2;2;5;2;2;4;2;1;4;4;4;1;3;5;4;2;1;1;1;1;1;4;4;1;1;3;5;4;3;5;87
2;2;21;4;8;5;3;1;3;2;2;3;2;2;3;3;3;4;3;3;3;4;3;3;1;3;3;2;2;2;3;2;3;3;3;3;85
2;2;21;4;8;5;3;2;2;4;4;5;2;2;1;5;5;1;5;2;1;4;1;1;1;1;3;2;2;2;3;4;5;1;2;5;86
1;2;22;5;7;1;1;5;1;5;5;4;4;5;1;5;5;3;4;3;1;1;1;1;1;1;1;1;5;1;5;5;1;1;5;5;88
1;2;21;5;7;2;1;5;1;5;5;2;5;5;1;4;5;4;1;2;1;1;1;1;1;1;1;1;4;1;5;5;1;1;4;5;82
1;2;21;5;7;5;4;2;5;4;4;5;1;5;3;5;2;1;5;5;5;5;1;1;1;1;5;3;5;5;3;1;4;5;5;3;109
1;2;24;5;7;2;2;4;1;5;5;4;4;4;1;5;5;2;3;2;1;1;1;2;1;1;2;3;4;2;4;4;1;1;3;5;85
1;2;21;5;7;4;1;5;1;5;5;2;4;1;1;4;5;1;1;2;1;2;1;1;1;1;1;1;5;3;5;4;1;1;4;4;78
1;2;22;5;7;3;2;2;5;2;2;5;1;1;4;5;2;2;5;5;5;5;2;2;1;2;3;5;5;5;1;1;5;5;2;5;100
1;2;20;5;7;5;4;2;2;4;2;2;2;1;2;5;5;2;4;4;2;1;2;2;1;1;4;4;4;1;4;2;2;3;2;4;85
1;2;20;5;7;3;1;5;1;4;5;3;4;5;1;4;5;2;4;1;1;1;1;1;1;1;1;3;5;1;5;5;1;1;4;5;85
1;2;20;5;7;5;4;4;2;2;2;2;2;2;4;3;4;2;2;2;2;4;2;2;2;2;3;4;2;4;2;2;4;4;3;2;86
1;2;21;5;7;5;4;4;2;4;5;4;4;4;2;4;4;2;4;5;1;4;1;2;1;1;4;2;5;4;4;4;2;4;2;5;103
1;2;22;5;7;3;4;4;1;4;3;4;4;3;1;5;4;4;5;5;5;3;3;1;1;3;4;3;5;5;5;3;3;3;1;5;107
1;2;18;6;1;5;5;1;5;3;3;4;4;1;3;5;3;3;5;4;1;5;1;3;4;3;3;5;5;5;3;2;5;5;1;3;108
1;2;20;6;1;4;1;4;2;4;4;4;1;4;1;5;5;1;2;1;1;1;1;4;1;1;1;1;5;1;4;4;1;1;1;4;75
1;2;20;6;1;5;3;4;1;4;5;4;4;4;1;4;5;2;4;1;1;3;2;1;1;1;3;3;5;1;5;4;1;3;4;3;92
1;2;22;6;1;5;5;5;3;5;5;2;4;4;3;3;4;3;5;5;1;5;5;3;2;2;5;5;3;5;5;3;3;1;1;3;113
1;2;20;6;1;3;4;4;2;4;3;2;2;2;2;4;5;2;2;2;2;2;2;2;2;2;2;2;5;2;2;5;3;3;3;3;85
1;2;24;6;1;5;5;1;5;1;1;5;1;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;3;1;5;5;2;1;1;96
1;2;30;6;1;5;5;4;4;3;3;4;3;1;4;5;5;2;2;3;3;5;1;1;1;1;3;3;4;3;3;4;2;3;2;4;96
1;2;23;6;1;5;2;2;4;2;3;3;1;1;4;5;3;2;4;5;4;5;1;2;3;3;2;3;3;2;4;5;3;4;3;3;96
1;2;23;6;6;2;1;1;4;4;1;5;5;1;1;3;5;1;1;1;1;1;1;1;1;1;1;1;5;1;5;5;1;1;5;5;72
2;1;22;7;5;3;1;2;3;3;3;4;3;4;3;4;4;3;2;4;2;3;3;3;2;3;3;4;4;3;3;4;3;4;2;5;97
2;1;26;7;5;5;5;2;4;1;5;4;4;1;5;4;1;2;5;4;5;5;3;2;5;5;4;5;4;5;1;5;5;5;1;1;113
2;2;21;8;1;3;1;4;1;5;5;4;4;3;1;2;4;1;1;1;1;1;1;1;1;1;1;1;4;1;4;4;1;1;4;4;71
2;2;21;8;1;3;1;5;1;5;5;1;5;5;1;3;5;1;1;1;1;1;1;1;1;1;1;1;5;1;5;5;1;1;5;5;79
2;1;19;8;1;3;4;3;1;5;5;5;4;4;1;3;4;4;3;3;2;3;3;2;2;2;3;3;2;3;3;4;3;4;4;4;99
1;2;18;8;2;5;4;2;4;3;3;4;3;3;5;5;4;3;4;5;2;5;4;3;1;1;3;5;4;2;2;2;3;5;3;2;104
1;2;19;8;5;4;1;4;2;5;4;4;4;4;1;4;5;3;1;1;1;1;1;2;1;1;2;2;5;1;5;5;5;4;3;5;91
1;1;19;8;2;1;3;4;2;4;4;3;3;4;3;4;2;3;2;2;3;3;2;4;3;3;3;3;4;2;3;4;4;4;3;3;95
1;2;18;8;2;4;3;3;2;4;4;4;3;3;3;4;5;3;3;4;1;3;1;2;1;2;1;2;3;2;5;3;2;2;1;4;87
1;2;20;8;2;3;3;3;3;4;4;4;4;3;3;4;4;3;3;2;2;3;2;2;2;3;2;2;2;2;3;3;3;3;2;2;88
1;2;22;8;2;5;3;2;4;5;5;5;4;3;1;4;5;1;5;1;3;5;1;1;1;3;3;5;1;1;5;2;4;5;5;5;103
1;2;17;8;2;3;3;3;2;4;4;2;4;4;2;4;5;2;2;2;2;3;1;1;1;1;4;1;1;1;4;3;3;4;4;5;85
